dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID3 Disorder-NOX,SPOT-Disorder,0.7655144476344391,0.7608674698141902,0.49645014535795373,0.4824116215608762,0.3666872,0.12102152781451736
CAID3 Disorder-NOX,SPOT-Disorder2,0.7968238494051714,0.7927680628554077,0.554439995427143,0.5455906242251448,0.422,0.06445308371210799
CAID3 Disorder-NOX,SPOT-Disorder-Single,0.7544199383096681,0.748771692506454,0.47966648348946267,0.471574239407496,0.2294,0.0631271732299174
CAID3 Disorder-NOX,DisEMBL-dis465,0.6769407263126064,0.673612657743981,0.32967114120495555,0.3271525512900022,0.3986,0.013358143583597227
CAID3 Disorder-NOX,DisEMBL-disHL,0.6052332031488878,0.6038562207595517,0.2432250638081397,0.1983609670788153,0.0977,0.02841144135731237
CAID3 Disorder-NOX,IsUnstruct,0.7283047428123945,0.7275545852403174,0.4401260464437905,0.43011122327593143,0.6251,0.08197737492747617
CAID3 Disorder-NOX,RONN,0.7203818627947095,0.7171825957890978,0.4110049087947086,0.40883515918170565,0.534,0.01743559577416271
CAID3 Disorder-NOX,PreDisorder,0.7332478889616004,0.7304400046119404,0.4419845248085235,0.4340726579433855,0.5331999999999999,0.01682735867568052
CAID3 Disorder-NOX,OPAL,0.6276157727331828,0.6052272993886303,0.23482153597777397,0.19364757067776453,0.5259,0.02086839715934122
CAID3 Disorder-NOX,pyHCA,0.7298170190699382,0.7178173507266932,0.4415716080513744,0.4265755159748635,0.3095,0.0726763372769982
CAID3 Disorder-NOX,DeepIDP-2L,0.7568282076166368,0.75475588965267,0.49350803655064385,0.489901385838133,0.5509000000000001,0.014976314633447023
CAID3 Disorder-NOX,PredIDR-long,0.7604624951454266,0.7540117653835945,0.48039428852109317,0.46784377391246157,0.4423,0.05630816992231233
CAID3 Disorder-NOX,PredIDR-short,0.750843577431437,0.740738331931976,0.4628521057159862,0.44365086269863646,0.43970000000000004,0.0798098364864883
CAID3 Disorder-NOX,PredIDR2-Prof-Art,0.7581501455448261,0.7522605214343612,0.48846736168276245,0.4747318558817455,0.7957834,0.057548965843358134
CAID3 Disorder-NOX,PredIDR2-Seq-Art,0.7644507110792542,0.7625178516187454,0.49440544614650833,0.48961750495892886,0.7310000000000001,0.03778888725538236
CAID3 Disorder-NOX,AUCpred-profile,0.750409610604568,0.7444268467640955,0.4617589016607463,0.451471040217093,0.1185489,0.10156766917129682
CAID3 Disorder-NOX,AUCpred-no-profile,0.7370174653026045,0.7324139820053431,0.4473805287617119,0.43938833025070917,0.12079999999999999,0.10230327462989638
CAID3 Disorder-NOX,DisoPred,0.797070590754706,0.7935625658604604,0.5587375123638861,0.5534150211386681,0.44770000000000004,0.027320505119781364
CAID3 Disorder-NOX,DisPredict2,0.6124106316309623,0.6051652075562273,0.20750131035938857,0.19408626699414291,0.382,0.0560071424016616
CAID3 Disorder-NOX,DisPredict3,0.7831466540399112,0.7815155414452716,0.5321705093762944,0.5275979464652842,0.07909999999999999,0.015578510840256847
CAID3 Disorder-NOX,IDP-Fusion,0.7731807817752665,0.7715113925792538,0.5168082213226932,0.5115097552893494,0.58,0.033600595232822876
CAID3 Disorder-NOX,rawMSA-disorder,0.7814432468919197,0.7731034157874541,0.5242764510916169,0.5105057217549239,0.3736,0.012634872377669682
CAID3 Disorder-NOX,Metapredict-v1,0.7449859797582301,0.7436640616440682,0.46924921447529777,0.4674557208792196,0.364,0.016780941570722425
CAID3 Disorder-NOX,Metapredict-v2,0.7888009925882091,0.7881133176631434,0.5385180976614363,0.537068405143683,0.4282,0.023915685229572662
CAID3 Disorder-NOX,Metapredict-v3,0.808316334401006,0.8071411826135315,0.5806027110973885,0.5780696434142336,0.5338,0.029895819105687668
CAID3 Disorder-NOX,DisoMine,0.7288894814057405,0.7220491060632366,0.4297173458905947,0.41475397266083536,0.28879999999999995,0.03998449699571072
CAID3 Disorder-NOX,PUNCH2,0.8089997372851283,0.8058871846620779,0.5748109083653938,0.5696379002972612,0.4943872000000001,0.07048901555958914
CAID3 Disorder-NOX,PUNCH2-Light,0.8046163777196624,0.8026053523312304,0.5684690616321634,0.5643574250573277,0.49588800000000005,0.08124324080192764
CAID3 Disorder-NOX,DisorderUnetLM,0.8187796186913148,0.7935381627677363,0.5887680643263091,0.552330032558846,0.24723080000000003,0.18115449378295864
CAID3 Disorder-NOX,LMDisorder,0.7840606922023073,0.7802600894175078,0.523176641820233,0.5162323823367087,0.7438,0.13394536199510604
CAID3 Disorder-NOX,ESMDisPred-1,0.8028774604184604,0.8005424491731663,0.5633901539657515,0.5598633055243133,0.1949835,0.015158345894259045
CAID3 Disorder-NOX,ESMDisPred-2,0.8045251245583549,0.8020359258815668,0.5761688651850662,0.5707210911886142,0.2234,0.0180344115512539
CAID3 Disorder-NOX,UdonPred-DisProt,0.7579859207370254,0.7545801420997543,0.48282548971705874,0.47843635900922166,0.2137467,0.06401579317176348
CAID3 Disorder-NOX,UdonPred-combined,0.7959101337331513,0.7949549076738476,0.5489435122998915,0.5473187972842273,0.4255,0.018938056922503953
CAID3 Disorder-NOX,DARUMA-beta,0.7601191030202394,0.7559634198838471,0.4863194320038705,0.47660933647932263,0.43570000000000003,0.09925023929442185
CAID3 Disorder-NOX,DisoFLAG-IDR,0.7912425918221382,0.7879146081122093,0.5462343719146724,0.5351053559423293,0.31110000000000004,0.06111538267899499
CAID3 Disorder-NOX,s2D-2,0.6475032732226577,0.6405332370715959,0.2718759063312057,0.25866559574666786,0.5243000000000001,0.0352705259388062
