dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID3 Disorder-PDB,DisoPred,DED,calibrated,0.441,long_gt30,0.7872744539411206,0.8546767658974811,0.8209756099193009,0.7910366107528253,0.8501418109347211,0.5630004280134725,18954,5677
CAID3 Disorder-PDB,DisPredict2,DED,literal,0.5,short_lt20,0.3622787610619469,0.8221552373775434,0.5922169992197451,0.5629061275157585,0.6204417788267118,0.20203442588007936,1808,1327
CAID3 Disorder-PDB,DisPredict2,DED,literal,0.5,mid_20_30,0.35,0.6855614973262032,0.5177807486631016,0.47290406308491206,0.5605913889734149,0.03648691353651557,1540,935
CAID3 Disorder-PDB,DisPredict2,DED,literal,0.5,long_gt30,0.4860187823150786,0.7407081204861723,0.6133634514006254,0.5790453759200255,0.6468278470164501,0.19266623049908538,18954,5677
CAID3 Disorder-PDB,DisPredict2,DED,calibrated,0.429,short_lt20,0.4745575221238938,0.7174076865109269,0.5959826043174103,0.5678709370934529,0.6245126485093649,0.1941647576908905,1808,1327
CAID3 Disorder-PDB,DisPredict2,DED,calibrated,0.429,mid_20_30,0.487012987012987,0.5946524064171123,0.5408326967150496,0.49615822582403957,0.5866756002632301,0.079494068298111,1540,935
CAID3 Disorder-PDB,DisPredict2,DED,calibrated,0.429,long_gt30,0.6142766698322254,0.6529857319006518,0.6336312008664386,0.5983958533370483,0.6655665345012454,0.2263702996979353,18954,5677
CAID3 Disorder-PDB,DisPredict3,DED,literal,0.5,short_lt20,0.28926991150442477,0.9118311981914092,0.600550554847917,0.5754574192866996,0.6263533516969162,0.24650394816852705,1808,1327
CAID3 Disorder-PDB,DisPredict3,DED,literal,0.5,mid_20_30,0.35,0.8834224598930481,0.616711229946524,0.5764367331580519,0.6595278937155339,0.25742577609980316,1540,935
CAID3 Disorder-PDB,DisPredict3,DED,literal,0.5,long_gt30,0.45357180542365727,0.9411661088603136,0.6973689571419854,0.6649607137319274,0.7305656384247867,0.345795117124574,18954,5677
CAID3 Disorder-PDB,DisPredict3,DED,calibrated,0.08,short_lt20,0.5702433628318584,0.7370007535795027,0.6536220582056805,0.6267496779844813,0.6793239855323344,0.3058018764539904,1808,1327
CAID3 Disorder-PDB,DisPredict3,DED,calibrated,0.08,mid_20_30,0.687012987012987,0.6909090909090909,0.688961038961039,0.6452086577138965,0.7301848535106398,0.3679002491821274,1540,935
CAID3 Disorder-PDB,DisPredict3,DED,calibrated,0.08,long_gt30,0.7751925714888678,0.7986612647525101,0.7869269181206889,0.7524055957508362,0.8165890375092656,0.5043946902139325,18954,5677
CAID3 Disorder-PDB,IDP-Fusion,DED,literal,0.5,short_lt20,0.5763274336283186,0.7995478522984175,0.6879376429633681,0.6586786790331813,0.7208196244902701,0.3766216661298286,1808,1327
CAID3 Disorder-PDB,IDP-Fusion,DED,literal,0.5,mid_20_30,0.7071428571428572,0.8074866310160428,0.75731474407945,0.7158735671276233,0.8048806954436237,0.49917907101263254,1540,935
CAID3 Disorder-PDB,IDP-Fusion,DED,literal,0.5,long_gt30,0.8012556716260419,0.8171569490928308,0.8092063103594364,0.7659966442640417,0.8490168510168424,0.5492893565443432,18954,5677
CAID3 Disorder-PDB,IDP-Fusion,DED,calibrated,0.538,short_lt20,0.5525442477876106,0.8304446119065562,0.6914944298470833,0.6628448064632436,0.7219730819065887,0.3878821226196687,1808,1327
CAID3 Disorder-PDB,IDP-Fusion,DED,calibrated,0.538,mid_20_30,0.6818181818181818,0.8427807486631016,0.7622994652406416,0.7213873658700797,0.8100048260775337,0.5089569680317496,1540,935
CAID3 Disorder-PDB,IDP-Fusion,DED,calibrated,0.538,long_gt30,0.7812598923710035,0.8492161352827198,0.8152380138268616,0.773869757714633,0.8539048146110029,0.5518277564976779,18954,5677
CAID3 Disorder-PDB,rawMSA-disorder,DED,literal,0.5,short_lt20,0.26714601769911506,0.9163526752072344,0.5917493464531747,0.5662990974340907,0.6192320474773696,0.2313513800741534,1808,1327
